,Taxon,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,Size
GMM_12279,GMM,1,-2.13E-18,-2.58E-18,0.75817,-0.0280307,0.00740372,-0.088681,-0.00568814,0.0183455,-0.0589378,-0.0559464,0.0551317,-0.00470958,-0.0351077,0.0141869,0.0027792,-0.0125654,-0.0324184,0.0288206,0.0102573,0.00328897,-0.0199292,0.000887623,-0.00427724,-0.00858202,-0.00379324,0.00817516,-0.00509938,0.0010043,-0.00900737,0.0126186,0.00137138,-0.00452528,0.00253844,-0.000257328,-0.00660898,-0.0025382,0.00224164,0.00208422,-0.00732994,-0.0007143,-7.98E-05,-0.0123891,0.00326152,-0.00375219,0.00298843,-0.00378427,0.00570753,0.000606708,0.00261487,0.00822046,-0.0019206,-0.000455313,0.000970722,-0.00349783,-0.00546899,-0.00164938,0.00162993,-0.00686006,0.000722622,-0.00330941,0.00313204,0.00120332,0.00674347,-0.00171603,0.000988058,0.000556509,-0.00206444,-0.00365258,-0.00069772,-0.00480483,-0.000288571,-0.00158095,-0.00197573,0.00255628,-0.000183711,-0.00223182,-0.00526049,-0.00194231,-0.00653026,-0.00228377,-0.00396675,-0.00202879,-0.00010345,0.00518081,-0.00247488,0.00300387,-0.00485787,0.000454854,-0.00402148,-0.00315904,-0.00301974,0.00555471,0.00330176,0.00405658,0.00293223,-0.00267262,-0.00277486,-0.00096966,0.00396297,0.00107897,0.00412413,-0.0011999,0.00287145,-0.00303768,-0.00191415,0.00313325,-0.00282429,0.00296538,-0.000880082,0.000944952,-0.00717727,-0.00261823,-0.00128637,-0.00043972,-0.000809965,0.00277967,0.000327798,-8.83E-06,0.00455223,0.0644321
GMM_12280,GMM,1,4.66E-18,-6.7E-19,0.771244,-0.00692191,0.00671937,-0.0719463,0.0235074,0.0115571,-0.0544409,-0.0483808,0.0339787,-0.00630635,-0.0238063,0.00254955,0.00345366,-0.0120619,-0.0260967,0.0220508,0.0111848,-0.00358342,-0.0203353,-0.00286833,0.0041078,-0.0103991,-0.00260414,0.0059141,-0.0045391,-0.00537302,-0.010225,0.0134893,0.00120232,-0.00364119,0.00487126,0.00165527,-0.00549163,-0.00395552,0.00173437,0.00422631,-0.00753171,-0.000557296,0.00285212,-0.00713199,0.00302199,-0.00199223,0.00486844,-0.00725861,0.000949174,-0.000133901,0.0022043,0.00549924,0.0020246,0.000405803,0.00267206,-0.0026038,-0.00240099,-2.33E-05,0.000449281,-0.0061047,-0.00438967,-0.00284027,0.00427828,-0.000958149,0.0050318,0.000774784,0.00114661,0.000635486,0.00327176,-0.0015059,0.0017266,-0.00141394,-0.000445173,-0.00375821,-0.000783012,0.00134252,0.00271679,9.04E-05,-0.00220143,0.000453299,-0.00184148,-0.00561293,-0.00410752,-0.00352052,-0.00236554,0.00163639,0.000758063,0.00359049,-0.000817321,-0.000403966,-0.00549268,-0.00211808,-0.00536573,0.00135612,-0.000819639,-0.00159517,0.000694314,0.00289377,-0.000647734,0.00102126,0.000230978,0.00111488,-0.000675609,0.00201466,-0.000395856,-0.000437591,0.00129853,0.00140543,0.00395318,-0.000147477,-0.000364046,0.000617059,0.000937951,0.000319826,-0.000621194,-0.00126237,-0.00657642,-0.000755451,-0.00138929,-0.00360756,-0.00429614,0.0638307
GMM_12281,GMM,1,-2.53E-17,9.12E-18,0.756331,-0.0119301,-0.00814509,-0.0725007,0.0191551,0.0172913,-0.0507039,-0.0585282,0.031141,-0.00271345,-0.0390415,0.0170152,0.00834273,-0.00763326,-0.0274726,0.0146849,0.00419337,-0.0018932,-0.0199407,0.000294604,0.00232573,-0.00104193,-0.00644002,0.00971366,-0.00495366,-0.00790667,-0.00380669,0.0129355,0.00151977,0.00450578,0.00204737,0.00242848,-0.0022955,-0.00892347,0.00801784,0.000207944,-0.00511191,-0.000614994,0.000976184,-0.0125157,0.0022608,-0.00553754,0.00878106,-0.00171604,0.00612978,-0.00292626,-0.00229027,0.00804807,-0.0022472,-0.00364819,0.00384181,-0.00697235,-0.00524087,-0.00549307,0.000142452,-0.00610695,0.00270759,-0.000616579,-0.00032739,-0.000567743,0.00357878,-0.00131198,-0.00143491,-0.000931348,-0.00164332,0.00105842,-0.00665243,-0.00238036,-3.5E-05,0.00237677,0.00173428,0.00125761,-4.72E-05,0.00109014,-0.00401949,0.00213039,-0.00461709,0.00262514,0.00284752,0.00180022,0.000525562,-0.000723025,0.000884885,0.00293088,-0.000872931,0.00322061,-0.000348996,-0.00338192,-0.00224285,-0.00587652,0.00172799,-0.00225429,0.00449321,0.00395817,-0.00371474,0.000288942,-0.00101226,-0.00469375,0.000461438,0.00208723,-0.000365092,0.00647273,-0.00304537,0.00647168,-0.00211289,-0.00235665,0.000273792,0.000123523,-0.00299718,0.00185191,0.00155441,-0.00252194,0.00395069,-0.00153634,-0.000263169,-0.00286043,0.00217914,0.0644666
GMM_12282,GMM,1,-2.22E-17,-1.26E-17,0.783814,0.0099027,0.0173389,-0.0888154,0.00954679,0.0103768,-0.0819229,-0.0512946,0.0421073,0.0021367,-0.0187952,0.0145906,0.0030576,-0.0113842,-0.0396869,0.027111,0.00948454,0.00869983,-0.00911805,-0.00290889,0.00647127,-0.00309985,-0.0101632,0.0108967,-0.00609455,-0.00263726,-0.00513845,0.00902244,0.000655801,0.00196136,0.00366644,0.0032138,-0.00771425,-0.0045787,0.000409313,0.000276924,-0.00285374,0.00172371,0.00338191,-0.00550389,-0.00118098,-0.00529209,-0.00325685,-0.0100937,0.00201894,-0.0017088,0.00426255,0.0060601,0.00554601,0.00269895,-0.000479986,0.00150009,-0.00932835,-0.000809517,0.000311954,-0.00770035,-0.00210322,-0.00179374,0.00353708,0.000486728,0.00836018,-0.0010289,-0.000652655,0.00186887,0.000383287,-0.00523282,0.00121899,-0.00188493,-0.00106336,0.000272966,-0.00353931,0.000112046,-0.00214873,-0.00275946,-0.00519519,-0.00130042,-0.00487758,0.00335799,-0.00371071,0.00242723,-0.00282261,0.00232325,-0.00364909,0.00228955,-0.0050688,0.00346401,0.00251881,0.00225416,0.00150364,0.00355111,-0.00277016,-0.00284315,0.00210184,-0.00156344,0.00351242,-0.00096789,0.00479701,0.00243659,-0.00316674,7.94E-05,-0.00344916,-0.0029197,0.00126424,-0.0014472,0.00141258,0.00249008,-0.000884447,0.00664925,0.00250828,-0.00182354,-0.00171309,0.000995891,-0.00414672,-0.00159923,0.00146385,-0.00413782,-0.000945614,0.0634848
GMM_12283,GMM,1,1.13E-17,-6.37E-18,0.744753,-0.0133168,-0.00145074,-0.106955,-0.00833884,0.0290994,-0.053474,-0.0412907,0.0312714,0.000758901,-0.0309014,0.0130969,0.0031266,0.000624255,-0.0309559,0.0173598,0.00883949,0.0075145,-0.0153521,-0.00126394,0.00217968,-0.00453938,-0.0086007,0.0121381,0.00370449,-0.000108884,-0.00394101,0.0123259,0.00272886,-0.00261236,0.00159319,0.00502999,-0.00667552,-0.00596912,0.000355993,-0.00491725,-0.00348378,-0.00205315,0.00168385,-0.00960939,-0.00106217,-0.00731005,-0.00317087,-0.00366506,0.00312832,-0.0026544,0.00231361,0.00436386,-1.8E-05,-0.000157093,-0.000372637,-6.89E-05,-0.00920341,-0.00283458,-0.00163364,-0.00576312,0.000103325,-0.00290187,0.00152854,-0.000860824,0.00515048,-0.00111848,-0.0019528,0.00102732,-0.00353314,-1.21E-06,-0.00171469,-0.00100092,-0.00147949,0.00364285,-0.00492758,0.000666961,-0.00282167,0.000999286,0.00110328,0.00722705,-0.000130755,0.005473,-0.00158117,0.0017347,-0.00213815,-0.000772238,0.0022376,-0.00252663,0.00243559,0.00366657,0.00345474,0.00427172,-0.00125528,-0.000534182,-0.00130576,-0.00521278,-0.002012,-5.99E-05,0.00399254,0.000533656,0.00663397,0.000115846,-0.00390398,-0.000631505,0.00105448,-0.00150775,0.00239589,0.000941146,0.000684284,0.000974378,-0.00373997,0.00454046,-0.00121947,0.001106,0.00141184,0.00117598,-0.00271916,0.000327975,-0.00221088,-0.00249955,0.00104307,0.0648463
GMM_12284,GMM,1,4.49E-19,1.24E-17,0.768851,-0.00399667,0.00579227,-0.0537541,0.0111792,0.0117497,-0.0471123,-0.0475931,0.0657972,-0.00335743,-0.0254388,0.00371429,-0.00608363,-0.0220261,-0.0191755,0.0355552,0.00426532,-0.000925578,-0.0189467,-0.00748095,-7.08E-05,-0.0108227,0.000614113,0.000772991,-0.010168,0.00104054,-0.0108356,0.0110436,-3.67E-05,-0.00181276,0.000549599,0.000489359,-0.00861924,-0.00212397,-0.00100034,0.00113231,-0.00742432,0.00227401,0.00444802,-0.00623944,0.00290818,-0.00201532,-0.0016833,-0.00669206,0.00558566,-0.00285563,0.000931611,0.00540141,0.00836606,-0.000467343,0.00108129,0.000879593,-0.00323038,-0.000271326,0.000445987,-0.00500624,-0.0068806,-0.00182332,-2.81E-05,-0.00175864,0.00530469,-0.00121827,0.00383981,0.00423829,0.00546232,0.00209851,0.0023941,0.000767596,-0.00438438,-0.00269511,0.00246971,-0.00385736,0.00232692,0.000829804,0.00579938,0.00446776,0.000688124,-0.0039861,-0.00119862,-0.00402235,-0.0013175,-0.00383956,0.00770898,-0.00156339,0.00626108,-0.000384277,-0.00408126,-0.00343506,-0.00270627,-0.00410452,0.00157913,-0.00532972,-0.00216332,0.000447161,-0.00427133,0.00202196,-0.00013932,-0.000376626,-4.72E-05,0.00321775,0.000497918,0.000819543,-0.000727124,0.00149485,0.0025467,0.000300094,0.00113782,-4.83E-05,0.000572418,-0.000314399,-0.000184029,-0.000780312,-0.000800429,-0.000890351,-0.000762491,-0.00242268,-0.00272178,0.0641294
GMM_12285,GMM,1,-6.41E-18,1.09E-17,0.78229,-0.0115615,-0.0165497,-0.0644509,0.0152333,0.0112105,-0.0632892,-0.0448631,0.0552214,-0.00593501,-0.024786,0.00614502,-0.00186538,-0.014127,-0.0258647,0.0271019,0.0108081,0.00217263,-0.0174997,-0.00248664,-0.00205066,-0.00885419,-0.00138971,0.00882078,-0.0145388,0.000504412,-0.00893448,0.00329975,-0.00446456,-0.00408507,0.0033251,-0.00264444,-0.00542525,-0.000339676,0.00159979,0.00298137,-0.0019519,0.000209672,-0.00143066,-0.00790064,-0.000155518,-0.00414481,-0.000201388,-0.00255338,0.00241199,0.000575234,-0.000145909,0.00494733,-0.00022971,0.00279204,0.000156575,-0.00566611,-0.00955944,-0.00247427,-0.00126639,-0.00278068,0.00365276,0.00363133,0.00492866,0.00704246,0.00549532,-0.0026801,-0.00144337,0.00173389,-0.00379785,-0.00263147,0.00411817,-0.00109869,0.00214132,-0.00434237,-0.0030544,-0.00378895,0.00183852,-0.0010181,-0.000290988,-0.00154681,-0.00517142,-0.00330357,-0.00482101,-0.00132165,-0.00281,0.00222256,6.35E-06,0.00152952,-0.000602025,0.00138068,-0.0049604,-0.00428974,0.000387089,0.0010645,0.00301487,0.00181378,0.00382421,0.00249473,-0.0025284,0.00490641,-0.00340347,-0.00294052,0.00297239,-0.0010829,0.00107326,0.00224969,0.00131818,-0.000125834,0.00153111,-0.0036947,-0.000521526,-0.00331516,-0.00276969,-0.00141103,0.000126555,-0.00178338,-0.000386853,-0.00026457,-0.000495219,0.00256855,-0.000749986,0.0636943
GMM_12286,GMM,1,2.84E-17,1.28E-17,0.738515,0.000227413,-0.00973573,-0.0792722,0.00259532,0.0285272,-0.0600881,-0.0624669,0.0462278,-0.000442972,-0.0259555,0.0234766,-0.00549918,-0.00171029,-0.0345237,0.0233781,0.0117187,0.0115306,-0.00663182,-0.00177226,0.00213286,-0.00157508,-0.00827781,0.0138091,-0.00684307,0.000658558,-0.00181774,0.00117246,0.00440324,0.000673329,0.00148203,0.00575463,-0.00440887,-0.00619498,-0.000217443,0.00519742,-0.00206206,0.00109067,0.00384037,-0.0102788,-0.00441848,-0.00432982,-0.00223027,-0.00653518,-0.00173247,-0.00256381,-0.00129923,0.00383182,0.00581216,-0.00109457,0.00024495,0.00343281,-0.00866557,0.00136591,-0.00264239,-0.00446009,-0.00464874,-0.00159703,-0.000290763,-0.00166148,0.00895694,0.00179829,-0.00284168,0.00502702,-0.00112485,-0.000155345,-8.12E-05,-0.000586829,-0.00265685,0.00284635,-0.00278117,-0.000386258,0.0013779,0.00259597,0.00108475,0.00647075,-0.00322896,0.00226084,-0.00074452,-1.39E-05,-0.002216,0.00118615,0.00381207,0.000363071,0.00149608,-0.000270196,0.00183787,0.00111736,0.00156457,0.000451316,0.000689308,-0.00393074,-0.000417264,-0.00316618,-0.000585356,-0.00189672,0.00267747,0.00219811,-0.00269649,0.000223247,-0.00183867,-0.00240757,-0.000394228,0.000287842,0.000769295,0.00522444,-0.00157057,0.00434583,-0.000432922,-0.00276121,-0.00087439,-0.000286188,-0.000642381,0.00236929,0.00132214,-0.000345433,0.000774815,0.0649823
GMM_12287,GMM,1,-1.12E-17,-5.88E-18,0.721857,0.00431859,-0.00758125,-0.0432334,-0.0144519,0.0449666,-0.0572226,-0.0867245,0.0342324,0.0169618,-0.0251275,0.0159813,-0.00333495,0.00257346,-0.0436702,0.031932,0.028812,0.0180719,-0.00355544,-0.00383684,-0.0044135,-0.00106048,-0.00916736,0.0143664,-0.0058014,0.00670654,-0.000899546,0.00488689,0.0140122,-0.00532625,-0.000796754,0.0013286,-0.00632394,-0.00432627,0.000812378,0.00595586,-0.00021407,-0.004538,-0.00194858,-0.00764732,-0.00277931,-0.000477787,-0.000235965,-0.00263067,-0.00597541,0.000475827,-0.00442864,-0.000787578,0.00249567,-0.00256894,-0.000373622,0.00319368,0.00130075,-0.00107829,-0.00152715,0.00577739,-0.00531324,0.000759892,0.00110309,-0.00324839,-0.00615855,0.000697118,-0.00438893,-0.00823489,-4.89E-06,0.00250764,1.69E-05,0.00327296,0.00475225,0.00145185,-0.000287219,0.00505909,0.000892561,0.00349288,0.00364613,0.000786736,-0.00058219,-0.00151584,0.00321132,0.00220334,0.00631412,0.000499536,0.000967211,0.00131021,0.000852762,-0.00742255,0.00244426,-0.000844877,0.000135904,0.0019565,-0.000815383,-0.00244409,-0.00195644,-0.00410278,-0.000854323,-0.00202381,0.000246086,0.00424499,0.000151827,0.00252519,-0.00254052,-0.00155341,-0.000628799,-0.00215746,-0.0009148,0.00190423,0.00193473,-0.00124881,0.00574054,0.00161641,0.000690078,0.000915349,-0.00225767,-0.0026206,0.00146263,0.000243259,-0.000543744,0.0655414
GMM_12288,GMM,1,1.6E-18,1.01E-18,0.756884,-0.0128029,-0.0159761,-0.0750893,0.0228911,0.0137243,-0.056091,-0.0460704,0.0479832,-0.00638062,-0.0275469,0.0195695,0.000191246,-0.0106223,-0.0276829,0.029406,-0.00034547,0.00541826,-0.0158375,-0.00517766,-0.00561681,-0.00566209,-0.00569873,0.00732882,-0.00812429,0.00206192,-0.00506036,0.00756075,-0.00409647,0.00225053,0.00127698,-0.00165059,-0.00829385,-0.00335236,0.00397789,-0.00298032,0.00215878,0.00440039,0.00222248,-0.00387968,0.00583536,-0.00741519,-0.000335044,-0.00194377,0.00310509,-0.000555638,6.41E-05,0.00306524,-0.000993911,-0.002943,0.00172306,-0.00342623,-0.00673786,-0.000841807,-0.00316627,-0.00636047,-0.0010221,-0.00439006,0.00354737,0.00146312,0.00911169,0.000637047,0.000975205,0.00482653,-0.00276317,-0.00511923,0.000787921,-0.00406937,-0.00190883,-0.00400082,0.00230535,-0.000328846,0.00489078,-0.00266164,-0.00512067,-0.00326217,-0.00618551,-0.00387451,0.00200313,-0.00253081,-0.00375981,0.00444018,-0.00677827,-0.00142613,-0.00245401,-0.00131082,0.0030345,0.00362393,0.00197755,0.00357789,-0.00362171,0.00123163,0.00102574,-0.00159126,0.00441839,-0.00360877,0.00284766,0.00177026,-0.00216168,0.00151057,-0.00147253,-0.0015559,0.00139822,-6.06E-05,-0.00350812,-0.000148754,-0.000222814,0.000139997,0.00100232,0.000682374,0.000582886,0.00065024,0.000560636,-0.00200081,8.87E-05,-0.00119171,0.000374255,0.0644577
