,Taxon,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,Size
MP_12531,MP,1,2.16E-18,-2.8E-18,0.412153,0.0162179,0.00793352,-0.0508928,-0.0621311,0.0965952,-0.0108545,0.0290994,0.0506762,0.0148799,0.00317983,-0.0142781,-0.0102219,0.0331774,-0.00133845,0.000466711,0.0227243,0.00595025,-0.000393532,0.0129371,0.00110011,0.0136215,-0.00241862,-0.0164829,0.00259472,0.00875432,-0.00199899,0.00998329,0.00854345,0.00460822,-0.00193454,0.00914784,0.00135502,0.00445125,0.00943823,-0.00824183,-0.000567145,0.00117453,-0.00672384,-0.00530103,0.0115908,0.00441883,-0.00166332,0.00309445,-0.00337168,0.0019169,-0.00406862,0.00613344,0.00501955,0.00148902,0.00545228,0.0117752,0.00230029,0.00196766,0.000644247,-0.00409134,-0.00478318,-7.64E-05,0.00378418,-0.00261722,0.00835177,-0.000727098,-0.00191487,-0.00162758,0.0020585,0.00218939,-0.000431943,-0.00665024,-0.00343849,0.000296511,-0.00221419,0.00160649,0.00412305,-0.00123777,0.000191907,0.000441301,0.00692432,-0.00050181,-0.00183161,0.00364473,-0.00393098,0.000113967,-0.00080235,0.000880843,-0.00460576,0.00173836,0.00234565,0.00305974,0.000869912,0.000763476,-0.000569777,0.00206464,0.00165704,-0.00125975,0.00174354,0.00273286,0.0026872,0.000269309,0.00044258,-0.000704937,-0.00132303,-0.000418267,0.000481082,-0.00221934,-0.00214572,0.00073357,-0.000521173,-0.00128016,-0.000706781,0.000318377,0.00157657,-0.00135417,0.00185695,0.000151452,-0.000134863,-0.000933467,0.00175555,0.0751247
MP_12532,MP,1,-5.96E-19,1.15E-19,0.406114,0.0140082,-0.0161918,-0.0459938,-0.0785237,0.104693,0.00238683,0.0217336,0.068628,0.0136235,-0.011314,-0.0148959,-0.0153637,0.0287806,0.00230653,0.00255307,0.0171417,0.0096522,-0.00682131,0.00536465,0.00554163,0.0143953,0.00223695,-0.0134598,0.00157748,0.00498069,-0.00991053,0.0154212,0.00810671,0.00762638,0.00416504,0.00281096,0.00420516,0.0021955,0.00165016,-0.0129449,0.00509381,0.00151207,-0.00885302,-0.00137527,0.00646777,0.00310861,-0.000794045,0.016603,-0.00415181,0.00238271,0.00119533,0.00383763,0.00419858,0.00239012,0.00412546,-0.00221669,0.00072711,0.000728096,-0.000933825,-0.00427937,0.0040403,-0.00184876,-0.00204157,-0.00269172,0.00911272,0.000134033,-0.00303517,-0.000873418,-0.00582399,-0.00040625,-0.000509357,0.00328433,0.00168461,-4.88E-07,-0.00103244,0.0055275,0.00539099,7.18E-06,0.000553716,0.000362263,-0.00672526,0.00235189,-0.000304739,0.00173573,-0.0032623,0.000807903,0.00192857,0.00187597,0.00303065,-0.000330847,0.000880469,0.00104096,0.00372155,-0.000453865,9.31E-05,-0.00196802,-0.000152898,-0.000281531,0.000933856,-0.00308252,-0.000457777,3.98E-05,-0.00136858,-0.00227881,0.0017553,-0.000396546,-0.000156871,0.00012341,0.00344297,-0.000480587,0.00118232,0.00191788,0.00181755,-0.00170953,-0.00018823,0.000494218,0.000600674,-0.00060281,-0.000264453,-0.000975242,-0.00097033,0.0746667
MP_12541,MP,1,-1.82E-18,2.49E-19,0.374286,0.016077,-0.0105074,-0.0312979,-0.0655598,0.107697,-0.00625925,0.02252,0.0630444,0.0151734,-0.00596761,-0.0183899,-0.0231523,0.0330506,-0.00157818,0.00943854,0.0287713,0.0080143,-0.0049176,-0.00057715,-0.00298277,0.0141132,0.00328187,-0.00487387,0.00569254,0.00662526,-0.00535276,0.0156201,0.00468515,0.00550368,0.00434672,-0.0128159,0.000307186,0.00458828,-0.00309934,0.000625905,0.0059557,0.00260925,-0.00658233,0.0131988,0.0016458,0.00427064,0.00362633,0.000767387,0.00363388,4.71E-05,0.00257924,-0.00422703,0.00761489,0.00175552,-0.000439279,-0.0028771,-0.00140925,-0.00101364,-0.00385777,-0.000244986,0.00509012,0.00131388,-0.00201981,0.00350385,-6.24E-05,0.00112277,-0.000181043,0.00491326,-0.00366431,0.000111549,0.00140411,0.00417827,0.0070716,0.00228561,0.00114692,-0.000417408,-0.00534045,0.0016627,0.00098685,-0.00115845,-0.00125418,-0.000688424,0.000500882,0.000748714,0.0107672,-0.00147637,8.49E-06,-0.00130284,0.000635199,-0.000123509,-0.00109137,-0.000753434,-0.0053212,0.000712066,-6.02E-06,-0.000181272,0.00129714,0.000141232,-0.00011108,0.00248575,0.00462117,-0.00129362,0.000291671,0.00121103,0.00157,-0.000491804,0.000937903,-7.38E-05,-0.00277589,-0.000462125,-0.00114057,-0.000360831,-0.00391907,0.0010256,0.000755359,0.000113469,-0.00194958,0.000466489,0.000874241,0.00213516,-0.000158599,0.0753476
MP_12542,MP,1,3.49E-18,-1.08E-18,0.405025,0.0162902,-0.00884149,-0.0511758,-0.0655766,0.102602,4.19E-07,0.0397888,0.0691139,0.00954721,-0.00342547,-0.0173663,-0.0191183,0.033087,0.0062546,0.00564248,0.026034,0.00596873,-0.00717603,0.00667376,0.00930455,0.0131048,0.00541924,-0.020811,0.00296149,0.00710621,-0.0103329,0.0162069,0.00106908,0.0074908,0.00156982,0.00602817,-0.00106437,0.00524738,0.00473069,-0.0105506,0.00553556,0.00147475,-0.00318601,0.00013218,0.00828508,0.00206374,-0.00273894,0.00823346,-0.00380281,0.001525,-0.000254156,0.000843442,0.00359148,0.00233424,0.00158595,-0.00120409,-0.00147082,0.00306599,0.000544303,-0.00612755,-0.00414665,0.000901143,0.000972321,-0.00106759,0.0101187,-0.000546278,-0.00348164,-0.000951094,0.00272004,0.00148663,-0.00191304,-0.000877293,-0.00327054,-0.000576572,-0.00025394,0.00638098,0.00585387,-0.00111002,0.000799415,0.00430553,0.00209258,0.000403015,-0.000879201,0.00255456,-0.00743841,0.00124002,0.000622249,0.000515276,-0.00188654,0.00165019,0.00130376,0.00124299,0.00366459,0.000436124,0.000618253,0.000546187,0.00367564,-7.71E-05,0.00162424,-0.00284168,0.0024967,-0.000612066,0.000748862,-0.00456728,-0.00228659,-0.000332208,-0.00126516,-0.0026047,-0.000448007,0.000374673,-0.000465796,0.000370677,0.00288732,-0.000375667,0.000720459,0.00107738,0.00136637,-0.000755872,-0.000581663,-0.00124874,0.000413722,0.0746159
MP_12543,MP,1,5.46E-19,-5.98E-19,0.391546,0.0168448,-0.00287877,-0.0478782,-0.0690009,0.108926,0.00354518,0.0254152,0.0667307,0.0148146,0.00036649,-0.0217209,-0.0234512,0.0351374,0.00199677,0.00176835,0.0260217,0.00764675,-0.00234528,0.00161262,0.00250109,0.0157623,0.00185952,-0.0115717,0.00131435,0.00674777,-0.00441721,0.0158,0.00608622,0.00653805,0.00457943,-0.0105953,0.00469963,0.00411298,-0.00140826,-0.0122681,0.00472984,0.00137431,-0.00775958,0.0118088,0.00368584,0.00424046,0.00480227,0.0109339,-0.00367045,0.0014305,0.00162683,-0.00608724,0.00578658,0.00303027,0.00331704,-0.00501401,0.000346342,0.00141144,-0.00238817,-0.00585596,0.00386577,0.000603011,-0.00301554,-0.00109453,0.00392623,0.00230325,-0.00165694,0.00426399,-0.00548945,0.000746644,0.00179023,0.00740704,0.00946325,-0.000491569,-0.000150892,0.00351817,-0.000903768,0.00154585,0.00164421,-0.00385833,-0.00778606,0.000745984,0.00117928,0.00164069,0.00797734,-0.00116757,0.0015682,-0.000616337,0.00512412,-1.8E-05,-0.000857056,-0.00369586,-0.00275735,0.000345703,-0.000750051,-0.0056129,-0.00182903,0.000709967,-0.000558303,-0.000704997,0.00199757,0.000861151,-0.00151098,0.00302226,0.00292418,-0.000866197,0.000399534,0.00124281,0.00262135,-0.00046137,-9.53E-06,0.00236841,-0.00209608,-0.000859289,-0.00114875,0.000624814,-0.00157329,0.000995828,0.00116053,0.000114087,-0.000427388,0.0748636
MP_12545,MP,1,-9.55E-19,9.28E-19,0.419294,0.0157954,-0.00565888,-0.0592088,-0.0727026,0.108962,-0.00830096,0.0300944,0.0751608,0.0100241,-0.000618817,-0.0117024,-0.0136585,0.0356844,0.000498883,-0.0061961,0.0156346,0.0083433,-0.00776134,0.0149244,0.00979853,0.0121259,0.0076563,-0.0157645,0.00569561,0.00707686,-0.00402616,0.00296632,0.00456054,0.00408271,-0.00748391,0.0148821,0.0048313,0.00734439,0.00814389,-0.00210914,-0.00317397,0.00274001,0.000799093,-0.0126632,0.0137807,0.000683975,-0.00291485,0.00233544,0.000574719,-8.1E-05,-0.00529277,0.00572759,-0.00338451,0.00220581,0.000547487,0.00745593,0.00437347,0.000919145,-0.00029083,0.00227806,-0.00443098,0.00421626,0.00398745,-0.0015268,0.000644962,0.000457788,0.00197096,0.00246952,0.00903008,-5.62E-05,0.00076547,-0.00679555,0.000437551,-0.000141588,-0.00228704,-0.00585707,-0.0031958,-0.000337031,-0.00049947,0.00354758,0.00642495,-0.000696851,0.000639877,0.00627493,0.00316604,-0.00124936,-0.000997232,-0.00130339,-0.00312205,0.00035147,-0.000397924,-0.000926836,-0.00443659,0.00101897,-0.000292259,0.00150312,-0.00206993,-0.0001374,0.000561943,0.00362551,0.000930253,0.000657551,0.000204455,0.00193028,0.000421464,0.000669066,0.00209582,0.000712692,-0.00057857,-0.00110045,0.00049964,-0.0020152,-0.000934851,-0.000625584,0.00032351,-0.00467297,0.000444777,0.00152031,-0.000151464,0.000625578,0.000349459,0.0743042
MP_12547,MP,1,-2.03E-19,6.57E-19,0.392534,0.0193253,-0.012562,-0.0281114,-0.0682276,0.108713,-0.00283919,0.0194863,0.0645231,0.0162489,-0.00160161,-0.0168507,-0.0178052,0.0332165,-1.46E-05,0.0085686,0.0231578,0.00838642,-0.00191275,-0.00529414,0.00140673,0.0134535,-3.96E-05,-0.00712999,0.00575838,0.00606306,-0.0040383,0.0172887,0.00807534,0.00452458,0.00383065,-0.0129266,0.00420418,0.00241061,-0.000337987,-0.0115273,0.00352442,0.00440332,-0.00953256,0.0113475,0.00178661,0.00159125,0.00338891,0.00985126,0.00172918,0.00342199,0.00214292,-0.00498979,0.00661364,0.00101871,0.00218047,-0.00597335,-0.000386814,0.0015589,-0.00228769,-0.00549799,0.00603002,-0.000831761,-0.00330228,0.00029131,0.00379298,0.0020202,-0.00119386,0.00542791,-0.00657797,-0.0013228,-0.000143108,0.00395462,0.00802108,0.000917611,-0.000164985,0.00457359,-0.00143636,0.00114303,-2.87E-06,-0.00225107,-0.00884465,0.000739629,0.00242718,-5.06E-05,0.00807922,-0.000431409,-0.00119443,-0.00213551,0.00401335,-0.000438155,-0.000344778,-0.00284914,-0.000830179,0.00119619,-0.00102794,-0.00282064,-0.0032035,-0.00034465,0.000360878,-0.000902877,0.000215905,0.000581403,-0.00126098,0.00275384,0.00276599,-0.00163198,8E-05,0.00080047,0.00152263,-2.08E-05,-0.000850846,0.002019,-0.00181086,-0.000852549,-0.000917403,-0.000528365,-0.00165766,0.000797984,0.000706054,0.00049155,-0.0012525,0.074886
MP_12549,MP,1,3.72E-18,4.04E-20,0.403586,0.0111592,-0.0277243,-0.0398547,-0.0775702,0.100514,-0.00512435,0.0205315,0.0621319,0.00981178,-0.0176721,-0.0150366,-0.0196669,0.03075,-0.00046281,0.00315112,0.0190837,0.0098831,-0.0118071,0.00714459,0.00289058,0.0125953,0.00138589,-0.0100802,0.000205889,0.00441963,-0.00929943,0.0155034,0.00682783,0.00621907,0.00159368,-0.000926673,0.00249527,0.00218406,-0.000843711,-0.00781687,0.00534507,0.00184855,-0.00776173,0.00545941,0.0025873,0.00340774,-0.00184535,0.0123646,-0.00586563,0.00281646,0.00220269,0.00243912,0.0037404,0.00160685,0.000876384,-0.00245528,0.00303592,-0.000526245,-0.00121492,-0.00145239,0.00387697,-0.00177433,-0.00293009,0.00018417,0.00570832,0.00121635,-0.00284557,-3.15E-05,-0.00869333,-0.000165667,-0.000596372,0.00480432,-0.00139296,0.00102908,-5.34E-05,0.00478968,0.00344326,0.00158338,-9.02E-05,-0.00134082,-0.00761157,0.00218463,-1.62E-05,0.000789519,-0.000522461,0.000501621,0.000914581,0.00293964,0.00740005,-0.000635959,0.000113034,0.00100455,0.002778,-0.000500629,-0.00058157,-0.00195208,-0.00146659,-0.000298877,0.000474546,1.6E-05,0.000161655,-0.000518698,-0.000912699,0.00281144,0.000764126,-8.02E-05,0.000466047,0.00154665,0.000212236,-0.000125646,0.00104406,0.00117175,-0.00104575,-0.00062518,-0.000606722,-0.00241551,-0.00206412,0.000455974,-0.000517286,-0.00297537,-0.00194773,0.0747573
MP_12550,MP,1,-3.91E-19,6.99E-19,0.5107,0.040844,-0.0167915,-0.0739512,-0.0972643,0.0999369,-0.00231369,0.0301668,0.0619765,0.0186212,-0.0153717,-0.0142433,0.00429832,0.0268119,0.00380062,-0.0108349,0.00746551,0.00966511,-0.0138458,0.0187246,0.00993044,0.013975,0.00533026,-0.00369425,0.00407038,0.00320843,-0.00248073,-0.00771101,0.00337464,0.00225452,-0.0113752,-0.00241899,0.0112318,0.00402129,0.00134647,0.0167166,-0.00674231,0.00812259,0.00289835,-0.00166359,0.00167024,-0.000718455,-0.000360896,-0.00620217,0.013746,0.000810795,-0.0039723,-0.00442809,-0.00155129,-0.00234831,-0.000832337,0.00263812,0.00994643,0.000313428,-0.0014152,0.00722898,0.00300875,-0.000331459,-0.00153951,-0.00361959,-0.0142764,0.00335804,-0.000124206,0.00449508,0.000757159,0.00181582,0.000394155,0.00725709,0.00434837,-0.00148734,0.00173662,-0.00277224,0.00147241,-0.000287432,-0.000380891,-0.00522197,0.000231623,-0.000839437,-0.0016864,-0.00129815,0.00450615,0.00101628,0.000622571,0.00478505,3.4E-05,-0.00221986,-0.000862089,0.000974902,0.000199598,-0.000431695,0.00113685,-0.00135914,-0.000508459,-0.000539298,-0.000267677,-0.00123314,-0.00256681,0.000599186,-4.71E-05,-0.000258734,-0.000951855,-0.00127198,-0.00160844,0.000780382,-0.00154397,0.000359621,0.000586792,0.00201951,-0.00051598,0.000708617,-0.000708118,0.0011167,-0.00154083,0.000377412,0.00140738,-0.00190832,-0.00147765,0.0714857
MP_12551,MP,1,-1.02E-18,2E-18,0.402905,0.0183946,-0.0134992,-0.0452658,-0.0712148,0.110623,-0.00363478,0.0288324,0.0684603,0.0133789,-0.00792556,-0.0164923,-0.0240957,0.0354669,0.000970739,0.00937306,0.0251503,0.00819726,-0.00521635,0.000623402,0.00278923,0.0154182,0.00167253,-0.00770984,0.00207893,0.0063194,-0.00841316,0.0199267,0.00735776,0.00608945,0.00598788,-0.0115438,0.00293079,0.00532081,-0.00261755,-0.0106388,0.00325027,0.00422837,-0.00974082,0.013553,0.00194648,0.00342668,0.00359411,0.0122222,-0.00162274,0.00299128,0.00205524,-0.00731838,0.00645046,0.00187031,0.00167144,-0.00253899,0.0014711,0.000103912,-0.00439684,-0.00454713,0.00540464,-0.000791769,-0.00366247,0.00123547,0.00190998,0.00310116,-0.00150531,0.00571894,-0.00768933,-0.000145218,0.00288123,0.00712198,0.0081625,0.00226494,-0.000759699,0.00359904,-0.00254892,0.00230801,0.00308745,-0.00263531,-0.00850588,0.000174338,0.00171538,0.00146018,0.010148,-0.00103385,0.000592277,-0.00020093,0.00479121,-0.000533638,-0.00239352,-0.00325546,-0.00118736,0.000280358,-0.000145781,-0.00495923,6.23E-05,0.000344689,-0.000690189,0.00137507,0.0023579,-0.000251955,-0.000680962,0.00398346,0.00285623,-0.00128228,0.000492818,0.00160724,0.000276734,-0.000689849,-0.000523139,0.00126345,-0.00429439,8.16E-05,-0.000895242,-0.00112945,-0.00228573,0.00151159,0.00193823,-0.000529154,-0.0016308,0.0744979
