,Taxon,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,size,subspecies
OMC_13422,OMC,1,5.4E-18,-3.48E-18,0.507349,0.00557488,-0.0377654,-0.0893844,-0.096054,0.0923935,-0.00468672,0.0163317,0.0576763,0.0119945,-0.0213819,0.00429591,0.00356904,0.0271292,-0.00249629,-0.0272497,0.00252564,0.00786444,-0.0166656,0.0178359,0.00905666,0.012194,-0.00320767,0.00255449,0.0109263,0.00125761,-0.000800355,-0.00856106,0.00497,8.61E-05,-0.00830291,-0.00131902,0.00337744,0.00343123,-0.00554699,0.0115375,-0.00833382,0.00714389,-0.0018456,0.00379206,-0.00482029,-0.000628211,0.000191,-3.44E-05,0.0123765,-0.00163259,-0.0025837,0.000342348,0.00695161,-0.00272867,-0.00299109,0.00261793,-0.00267636,0.00125899,-0.00186133,0.00449492,-0.00321,5.35E-05,-0.00217248,-0.00149995,-0.0045253,0.00214736,-0.00317636,-0.00226047,-0.00283907,0.00212448,0.000169156,0.0057607,-0.00251477,0.000972046,0.00033353,0.00291696,0.00444436,-0.00148723,0.00157514,0.000914274,0.00451557,-0.00134,7.15E-05,0.0012564,0.000479563,-0.00058612,0.00106458,0.00202988,-0.00050016,-0.000153609,0.000226399,0.000413748,-0.00274792,-0.00087606,0.000685508,-0.00373289,-0.00246,-3.29E-05,-0.00121484,-0.00363715,0.00196109,-0.000730613,-0.000337027,-0.000879877,-0.000563209,-0.000536782,-0.00100029,0.000547686,-0.00313445,0.000189138,-0.000905498,0.000418669,-0.00153966,0.000623304,-0.00078466,0.00265808,0.00117826,0.000988,5.44E-05,0.00104655,0.000548527,0.0714641,OMM
OMC_13424,OMC,1,-3.62E-19,1.12E-18,0.556456,0.0176523,-0.0187597,-0.10061,-0.0929351,0.100692,0.001123,0.0218853,0.0436108,0.0173743,-0.0205344,0.0128658,0.00163388,0.0263576,0.00163049,-0.0281925,0.00872169,0.0089143,-0.0132583,0.0140269,0.00476478,0.0132228,-0.00362357,0.00571703,0.000773146,0.00683521,0.000958066,-0.00721185,0.00350436,0.00364235,-0.00444109,-0.00490388,0.013204,-0.000766476,-0.00432486,0.0100505,0.000388322,0.00581677,-0.00505567,0.00338605,-0.00833395,0.00482687,0.00308846,0.00434588,0.00134343,0.00291138,0.000374748,0.000304774,0.00732096,-0.00189198,-0.00111546,-0.00878607,0.00469394,-0.00114127,-0.00395648,0.00274217,0.00240305,0.00128265,-0.00112478,0.00628361,-0.00356828,-0.000362763,-0.0010215,0.000260593,-0.000916473,0.000588365,-0.00189378,-0.00291132,-0.00227177,0.0012504,-0.000750926,0.00291106,-9.98E-05,0.00259644,0.000457405,0.00605738,0.00104,-9.95E-05,0.000560684,-0.00215497,-0.00185247,-0.00031,0.000178562,-0.00408766,0.00185838,0.00016123,-0.00143188,0.00235352,0.0032809,-0.000153608,-0.000358214,0.00293,-1.88E-05,-0.000401423,0.000545877,0.000622531,-0.00131138,-0.000341703,0.000938076,0.000849218,0.000501,-9.66E-05,-0.000155134,0.000267215,-0.000648425,-0.000211006,-0.000915285,-0.0026967,-0.0021751,-0.000727697,-0.000741219,-0.00155106,-0.000192596,0.000162091,-0.000258148,0.000439,6.95E-05,0.0702906,OMM
OMC_13425,OMC,1,8.01E-20,-1.11E-18,0.527528,0.0270242,-0.00700237,-0.0928434,-0.0903178,0.0986168,0.0015884,0.0244105,0.0514957,0.0141275,-0.0161535,0.000430977,0.00878981,0.0232299,0.00188409,-0.0296187,0.0124752,0.00771385,-0.00629156,0.0201975,0.000803155,0.0134219,-0.00210498,0.00163058,0.0039628,0.00524753,0.000266173,-0.00928463,0.0101037,0.00257094,-0.00715703,-0.00126143,0.0070891,0.00131,9.5E-05,0.0112639,-0.00743396,0.00754305,-0.00127193,-0.0021249,-0.00466972,0.00142536,0.00286022,-0.00261143,0.00757296,0.000489067,-0.00608608,-0.000900683,0.00490291,-0.000347888,-0.0025307,-0.00143811,0.0010277,0.001364,-0.000812016,0.010329,0.000166176,0.00215363,0.000953954,0.00260881,-0.00550875,0.0015735,-0.00184249,-0.00196859,0.000722746,0.0015711,0.000359122,0.00244348,0.00158884,0.00058298,0.000124888,0.00180733,0.00287486,0.000822753,0.000569558,-0.000845,5.69E-05,-6.65E-05,-0.000746977,-0.000741,2.67E-05,0.000401903,0.000631319,0.00415012,0.00510912,-0.00020647,0.000279656,0.00345425,-0.00162246,-0.00117671,0.00138155,-0.00366845,-0.00418091,0.000271677,0.00012163,-0.00104413,-0.00115721,0.00137531,-0.00104924,0.00087203,-0.000806129,0.000870308,-0.000256162,0.00144153,-0.00212681,-0.000421051,0.000325852,0.000317128,0.000897318,0.00103235,0.00142722,-0.00117294,0.00247611,0.000324349,0.000405213,-0.00190338,0.00040771,0.071362,OMM
OMC_13426,OMC,1,-2.47E-18,1.88E-18,0.57558,0.01047,-0.0275081,-0.0709184,-0.0924315,0.103078,-0.0126733,0.0156153,0.0399459,0.0156058,-0.0162505,0.0106276,0.0046601,0.0268768,-0.00645579,-0.0258526,0.00704607,0.00655626,-0.0106119,0.0161528,0.00396567,0.0141291,-0.00635568,0.0110878,0.00556035,0.00559888,0.00171738,-0.00422199,0.00179989,0.00227289,-0.00776566,-0.00934202,0.0144,3.7E-05,-0.00363528,0.00763211,0.000598667,0.00422266,-0.00610614,0.00716678,-0.00921736,0.00476971,0.00270024,0.00433415,0.000900922,0.00179293,-0.000531632,0.00398458,0.00552691,0.000858727,-0.00194101,-0.00789572,0.00160503,-0.0020001,-0.00224051,0.00218392,0.00694215,-0.00151904,0.00191318,0.0078485,0.00177651,-0.00224447,-0.00305771,-0.0033654,-0.00205401,0.000818564,-0.00228991,-0.00343779,-0.00495084,0.00207229,-0.00119578,0.00344419,-0.00482251,0.00155283,0.00105002,0.00334351,0.00226985,0.00103712,-0.000698169,0.00167274,-0.0021987,-0.000269647,-0.000594711,-0.00275056,-9.13E-05,0.000688028,0.000209912,0.00168408,0.00638561,5.47E-06,-0.000397334,0.00281471,0.000494613,-0.00121368,0.00132975,0.00225129,-0.00378635,0.000579228,0.000621666,0.00156515,0.00108832,0.000587831,0.00087132,-0.000265427,0.00309263,-0.000850459,0.000637362,-0.0019,-0.000120072,-0.00084204,0.000264114,-0.00436192,-0.00183705,-0.000352557,-0.000491076,-0.000708857,-0.000630658,0.0697474,OMM
OMC_13427,OMC,1,1.13E-18,2.55E-18,0.576159,-0.00427664,-0.0354184,-0.100693,-0.0762221,0.098637,-0.00932882,0.00785148,0.0396958,0.0120808,-0.0173085,0.0166419,0.00232552,0.0275677,-0.00340268,-0.0297328,0.00717417,0.0039054,-0.0163133,0.00580396,0.000605718,0.0155709,-0.0114115,0.00937803,0.00206847,0.00706596,-0.00166777,0.0042721,-0.00512612,0.00183808,-0.00555347,-0.00487505,0.0169293,-0.00273468,-0.000643723,0.00624252,0.0107987,0.0033033,-0.00743786,0.00177168,-0.00663095,0.00409962,-0.00251322,0.00026482,-0.00787081,0.00300513,-0.00115871,0.00685555,-0.00159582,0.000923313,-0.00250158,-0.00576296,0.00515219,-0.000677229,-0.00159699,0.00418525,0.00718931,0.00101362,0.00135148,0.00925182,-0.00137982,-0.00188703,0.00302741,0.00196494,0.0047376,-0.00220795,-0.000460436,-0.00175938,0.00311603,-0.00266564,-0.00181066,-0.00174449,-0.00640312,0.000955938,-0.00136786,0.00175158,-0.00403,5.23E-05,-0.00100696,-0.00115318,-0.00149779,-0.00117533,0.000514217,-0.00401113,-0.000760536,0.000475226,-0.00115143,-0.00152727,0.000913795,0.00109522,-0.00173414,0.00421466,0.0025086,-0.000440101,-0.00105667,0.00312064,-0.000999,-0.000504137,0.00134431,-0.0018399,-0.00222,-3.38E-05,0.000421033,0.000837317,-0.0011184,0.000834581,-0.000569696,0.00128566,-0.00159388,0.0011346,0.00034655,0.0019921,0.000570779,0.000546616,0.000585563,0.000753633,0.00166479,0.0698865,OMM
OMC_13428,OMC,1,-1.11E-18,-3.75E-19,0.562609,0.00134473,-0.0376345,-0.0794745,-0.0799953,0.100552,-4.97E-06,0.00988284,0.0429513,0.014129,-0.0186448,0.0126968,0.00462348,0.0278092,-0.00688399,-0.0277916,0.0109459,0.00698726,-0.00902001,0.0146397,0.00103551,0.0131122,-0.0043063,0.00939609,4.29E-05,0.00555043,-0.00126893,-0.00427675,0.00188607,-0.000946144,-0.00781482,-0.00634232,0.0184264,-0.000826261,-0.00350459,0.00516261,0.00224346,0.00768348,-0.00545745,0.00429028,-0.0110471,0.00409686,0.000541223,0.00627597,-0.0033331,0.000719242,-0.00199798,0.000744941,0.00601154,0.000457702,-0.000976151,-0.00472417,0.00740397,-0.00102862,-0.000191973,0.00874035,0.00613143,-0.00235518,0.000541448,0.00044922,0.0011918,-0.00185882,-0.00122937,-0.0040944,0.00051598,0.00183284,-0.00231363,0.00491088,-0.00683707,-0.000197141,0.000572551,0.00561874,-0.00472351,0.000985032,0.000936277,-0.00348354,0.000983809,-0.00172,-6.74E-05,-0.00582379,-0.0014641,0.000142727,-0.000590837,0.00102278,0.000981539,0.00122166,-0.00195475,0.00347175,0.00102568,-0.00032823,0.000202373,0.00244288,-0.000385574,-0.000162514,0.00106428,0.000948167,-0.000796215,0.000845,7.59E-05,-0.000397025,0.00242383,0.000558,-9.09E-05,0.000571375,0.00202563,-0.00102611,0.00109,0.000157928,0.000267816,-0.000860933,0.000956053,-0.00102217,0.000173,-2.54E-05,-0.000321159,-0.000476362,-0.00237178,0.0704014,OMM
OMC_13432,OMC,1,5.37E-18,-9.68E-18,0.562241,0.0295678,-0.03422,-0.0794094,-0.102487,0.0842676,0.00160493,0.0132169,0.0441083,0.020878,-0.0160345,0.0222064,0.0216798,0.0246987,-0.00198758,-0.0234369,0.00949261,0.00438684,-0.00835564,0.0137197,0.00698295,0.0103582,-0.00561635,0.00793336,0.00401928,0.00434703,0.00234717,-0.000580578,0.00444041,0.00259885,-0.00460764,-0.00136989,0.00981499,-0.00148175,-0.000182994,0.00640237,0.0029349,0.00455351,-0.00331712,0.00619427,-0.00528014,0.00271527,0.00215702,0.00412031,-0.00455194,0.00104771,0.00102364,0.000702071,0.00658291,0.000308431,0.00173112,-0.00492302,0.0047656,-0.00203732,-0.00133935,-0.000530775,0.0034,-6.3E-05,0.00148799,0.00321186,-0.00198597,-0.000643208,-0.001632,-0.00224859,-0.00208568,0.000638304,0.000302,7.99E-05,-0.00271228,0.00101105,-0.000768286,0.00416779,-0.00475545,0.00180745,0.000478932,-0.00153509,0.00082544,0.000450245,0.000240083,-0.000455109,0.00161536,0.000451144,0.000212336,-0.000319899,-0.00136221,0.000515,1.7E-05,0.000882415,0.00228875,0.000953021,0.000674617,0.00153099,0.00117522,-0.000123955,0.000450566,-0.000863046,-0.0002995,0.00101794,0.000157714,-0.000235773,0.00193112,-0.000370988,-0.000174967,0.000477765,0.00123,-9.66E-05,0.000676402,-0.000962798,0.000476081,-0.000469051,-0.000150643,-0.000345737,-0.000326,-8.87E-05,-5.05E-05,-0.00021125,-0.000138409,0.0703151,OMM
OMC_13435,OMC,1,3.21E-18,-3.1E-18,0.627585,0.00819563,-0.0434569,-0.0977714,-0.0805491,0.100261,-0.0286277,-0.0053405,0.0361213,0.0153396,-0.0129843,0.0408506,0.0124813,0.025601,-0.0073127,-0.0281987,0.0150026,-0.00194081,-0.0112254,4.53E-05,0.0104332,0.0107889,-0.0157724,0.0162389,0.0020164,0.0115314,0.0019411,0.00705393,-0.0178389,0.000722805,-0.00590867,-0.00249045,0.0185592,-0.00542905,0.0014308,0.00658658,0.0178926,-0.00318519,-0.00554702,0.00454378,-0.00538988,0.00388847,-0.00325524,-0.00433513,-0.0108139,0.00143378,-0.00272856,0.00574114,-0.0058733,0.000935715,-0.000610004,-0.00557024,-1.74E-07,-0.000113766,-0.00136524,0.00216939,0.00434391,0.00308966,-0.00233509,0.0094311,-0.00157793,-0.000616256,0.00296214,0.00396453,0.00166418,0.000251587,0.00234846,0.000548681,0.00654825,-0.00205385,-0.000540953,-0.00410523,-0.00423904,-0.000534929,-0.000891503,-0.000867172,-0.00316671,0.00081286,-0.00054356,-0.00015586,-0.00145522,-0.000885126,0.00130924,-0.00531196,0.00147688,-0.000137094,0.0012866,-0.00286808,0.00313184,-0.000995994,-0.00182816,0.00109893,0.000534502,-0.000955359,-0.00131872,6.84E-05,0.00114946,0.000169749,-0.00115222,-0.00193501,-0.00149544,-0.000717,-9.83E-05,-0.000722167,-0.00109409,0.000187317,-0.000909349,0.00179974,-0.000864425,-0.000301416,-0.00138874,0.000967856,-0.00129,5.46E-05,-0.00018808,0.00148,5.47E-05,0.0680476,OMM
OMC_13436,OMC,1,-7.56E-18,9.7E-18,0.682235,0.0248757,-0.035115,-0.0877579,-0.0803941,0.0873824,-0.0180027,0.00606403,0.0223869,0.0175511,-0.0139371,0.0311486,0.0173675,0.0250221,0.000911618,-0.0121742,0.0194518,0.000732721,-0.00646823,0.00231645,0.00892727,0.00349672,-0.00909929,0.0086095,0.00562276,0.00812305,0.0018877,0.0116251,-0.0125337,0.00505676,-0.00343499,-0.000471533,0.00186791,0.000260847,0.00534675,0.00539686,0.0140022,-0.000784275,-0.0042466,-0.000578265,0.00354717,-0.000684402,0.000865357,-0.000527,-0.00289717,-0.000149187,-0.000798195,0.0100341,-0.00701942,0.0022042,0.000975539,-0.00644757,-0.0064384,0.000448426,-0.00190243,-0.00639564,0.00341987,0.00343034,0.000562839,0.00619271,-0.00309316,0.00263955,-0.000493103,0.00231042,0.000628555,0.00207989,0.00189229,-0.000933862,0.00992356,-0.000824733,5.67E-06,0.00101431,0.00318165,-0.000737898,0.00110891,0.000548615,-0.00143425,0.000191284,-0.000668502,0.00139123,0.000816584,0.000518359,-0.000237361,0.000160378,0.0013125,-9.78E-05,0.00151292,0.000376391,-0.00159921,0.000238971,0.000311431,-0.00221973,0.000917046,-0.00119813,0.000670604,0.000799275,0.00280274,-0.00044132,-0.000299822,0.000601338,-0.00102135,-0.000491425,0.000644604,-0.00235064,-0.000729,-2.42E-05,0.00021144,-0.00110598,0.000195723,-0.000628889,0.000392786,-0.000704557,0.000287876,0.000117661,-0.000233144,0.00205747,0.000999216,0.0663542,OMM
OMC_13441,OMC,1,-5.58E-18,-2.25E-18,0.540987,0.0235037,-0.0380191,-0.0672064,-0.0699444,0.0936643,-0.0146806,0.0290495,0.0475718,0.00972227,-0.0121817,-0.00222013,0.000274192,0.0264628,-0.00511186,-0.028494,0.0122726,0.00770399,-0.0159819,0.0204161,0.00542249,0.0123892,-0.00421313,0.00680646,0.00641242,0.00226498,-0.0011399,-0.0111948,0.00410315,-0.00195965,-0.00776304,-0.00535878,0.00811273,0.00205529,-0.00676686,0.0126425,-0.00951733,0.00501878,-0.00395198,0.00599899,-0.00687725,0.0045361,0.000896272,0.0018331,0.00866884,-0.00193402,-0.00153512,0.00237946,0.00672148,0.00209214,-0.00112761,-0.00428613,-0.00327242,-0.00369115,-0.00112993,0.00506089,0.00682485,0.000383645,0.00184834,0.00397302,0.000255482,-0.00285188,-0.00284166,-0.006034,-0.00515107,0.0016481,-0.00163158,0.00288183,-0.00391306,0.000818228,-0.00088449,0.00429697,-0.00380625,0.00186915,0.00170363,-0.00169402,0.00443747,-0.000911471,-0.000695631,0.00115603,0.000796009,-0.000882566,-0.000229386,-0.00136718,0.00327445,0.000149659,0.000567554,0.00162115,0.00173594,-0.00111942,0.000188276,0.000191246,-0.00483623,-0.000920557,0.000476932,-0.000652822,-0.000686786,0.000670201,-0.000303697,0.000145553,0.00151476,-0.000234167,-7.31E-05,-0.00246406,-0.00059052,-0.000615097,0.000429259,-5.38E-05,-0.00120724,-0.000277312,-0.000278113,0.000516139,-0.00139,3.63E-05,-0.000860001,-0.000490404,-0.000124852,0.0710376,OMM
